Period,Model,MAE,RMSE,R2,Mean Error,Std Dev Error,Theil's U
2023-03-27/2023-04-02,Model 4 - Karamov Naumov,28.18891808,38.35170569,0.330597242,6.553566987,37.7876182,0.013217858
2023-03-27/2023-04-02,Model 5 - HDKR,34.34317829,46.75354346,0.00517385,14.94441699,44.30077005,0.02424667
2023-04-03/2023-04-09,Model 1 - Kasten Model,70.74109816,96.69386296,-0.512103466,25.12520026,93.37251976,0.086509215
2023-04-03/2023-04-09,Model  2 - Balint et al. Model,69.78885094,94.73527203,-0.451466779,22.74730313,91.96375355,0.092596793
2023-04-03/2023-04-09,Model 3  - Real World GHI,31.21688816,41.63177283,0.719693288,-11.58213704,39.9882309,0.579160087
2023-04-03/2023-04-09,Model 4 - Karamov Naumov,29.00043804,39.02266211,0.753726618,-7.349343915,38.32434347,0.026654756
2023-04-03/2023-04-09,Model 5 - HDKR,33.42638501,48.8466106,0.614119746,-11.99516787,47.35089561,0.327515793
2023-04-10/2023-04-16,Model 1 - Kasten Model,51.33575073,77.96172304,-0.431811059,7.171003552,77.63122418,0.19561416
2023-04-10/2023-04-16,Model  2 - Balint et al. Model,51.58558394,76.92509652,-0.39398774,4.839184688,76.77273452,0.193204513
2023-04-10/2023-04-16,Model 3  - Real World GHI,34.05642769,48.07427308,0.455562154,-5.574128255,47.75002436,0.191838255
2023-04-10/2023-04-16,Model 4 - Karamov Naumov,30.21568901,45.81237798,0.505588544,5.938413233,45.42586515,0.141248172
2023-04-10/2023-04-16,Model 5 - HDKR,22.98642309,44.2543038,0.538646435,8.056582552,43.51476626,0.124510414
2023-04-17/2023-04-23,Model 1 - Kasten Model,66.7506535,113.0295395,-1.664309059,50.26364228,101.2385454,0.170242028
2023-04-17/2023-04-23,Model  2 - Balint et al. Model,64.91008186,109.7226185,-1.510689533,47.3300796,98.98947715,0.18085126
2023-04-17/2023-04-23,Model 3  - Real World GHI,42.62900942,57.0554926,0.321115953,20.21224506,53.35535948,0.151815404
2023-04-17/2023-04-23,Model 4 - Karamov Naumov,51.46923312,77.55264643,-0.254278361,35.85637556,68.76578583,0.03966229
2023-04-17/2023-04-23,Model 5 - HDKR,42.63633896,84.72932605,-0.497159908,41.31742746,73.97248732,0.092000157
2023-04-24/2023-04-30,Model 1 - Kasten Model,43.84111897,86.0595736,-2.079305727,30.38813755,80.51590716,0.046860054
2023-04-24/2023-04-30,Model  2 - Balint et al. Model,42.39637907,83.49227593,-1.898324642,28.18093407,78.59258931,0.060974771
2023-04-24/2023-04-30,Model 3  - Real World GHI,32.67346572,40.92009487,0.30381014,20.23102831,35.56908289,0.164949168
2023-04-24/2023-04-30,Model 4 - Karamov Naumov,48.34276467,65.39220991,-0.777896434,34.22534565,55.7204346,0.00223009
2023-04-24/2023-04-30,Model 5 - HDKR,59.22506632,78.93024186,-1.590247702,44.88957254,64.92233327,0.147730321
2023-05-01/2023-05-07,Model 1 - Kasten Model,63.61795608,100.2570326,-1.381660031,19.84530215,98.27327491,0.097620822
2023-05-01/2023-05-07,Model  2 - Balint et al. Model,63.4701277,98.53282542,-1.3004455,17.24111194,97.01268857,0.113873042
2023-05-01/2023-05-07,Model 3  - Real World GHI,37.17950041,48.987347,0.431385518,11.89416084,47.52145941,0.369119233
2023-05-01/2023-05-07,Model 4 - Karamov Naumov,46.92009406,68.69573241,-0.118174522,23.89291262,64.40677276,0.006451352
2023-05-01/2023-05-07,Model 5 - HDKR,44.18512505,62.04571847,0.087834354,20.34212076,58.61628873,0.196371588
2023-05-08/2023-05-14,Model 1 - Kasten Model,46.50028577,76.15916824,0.030930601,-2.169308162,76.12826682,0.00092849
2023-05-08/2023-05-14,Model  2 - Balint et al. Model,46.72542613,75.17801737,0.055738611,-4.98106762,75.01282065,0.000952531
2023-05-08/2023-05-14,Model 3  - Real World GHI,32.81145304,44.46146363,0.669723247,-4.937881914,44.18641274,0.001664473
2023-05-08/2023-05-14,Model 4 - Karamov Naumov,42.25490548,64.83921405,0.297597612,14.34935269,63.23147757,0.000491543
2023-05-08/2023-05-14,Model 5 - HDKR,48.03561976,66.90359595,0.252158749,20.87033224,63.56508777,0.001130375
2023-05-15/2023-05-21,Model 1 - Kasten Model,113.3919366,153.6959977,-1.782095248,-16.44270616,152.8139297,1.568737008
2023-05-15/2023-05-21,Model  2 - Balint et al. Model,111.7060346,151.3651152,-1.698351173,-19.43380985,150.1123751,1.530018826
2023-05-15/2023-05-21,Model 3  - Real World GHI,87.36570194,115.9667675,-0.583849754,-44.56309153,107.0627015,0.968300118
2023-05-15/2023-05-21,Model 4 - Karamov Naumov,104.2501919,139.0703749,-1.277802833,-26.8207888,136.4595708,1.33651737
2023-05-15/2023-05-21,Model 5 - HDKR,96.65108919,126.0314502,-0.870702577,-29.74036835,122.4721883,1.232775457
2023-05-22/2023-05-28,Model 1 - Kasten Model,144.7138802,185.5307469,-2.571993471,46.35007771,179.6477897,0.147877424
2023-05-22/2023-05-28,Model  2 - Balint et al. Model,141.8247064,180.8467952,-2.39391143,41.96415846,175.9106954,0.15631845
2023-05-22/2023-05-28,Model 3  - Real World GHI,82.82911587,99.96040778,-0.036895306,-27.22867952,96.1804665,0.241599043
2023-05-22/2023-05-28,Model 4 - Karamov Naumov,102.1588676,126.6039623,-0.663311025,-1.796011284,126.5912225,0.031081636
2023-05-22/2023-05-28,Model 5 - HDKR,93.92114329,119.3685271,-0.478626688,-45.65819654,110.2913158,0.122414744
2023-05-29/2023-06-04,Model 1 - Kasten Model,128.5342768,166.3335343,-1.409816316,91.48231981,138.9166289,0.017595057
2023-05-29/2023-06-04,Model  2 - Balint et al. Model,124.4877496,160.2431555,-1.236574075,86.66020863,134.7882678,0.027283557
2023-05-29/2023-06-04,Model 3  - Real World GHI,54.57264106,63.93420815,0.643966478,-20.64772725,60.50829969,0.053989583
2023-05-29/2023-06-04,Model 4 - Karamov Naumov,64.7853525,81.6640086,0.419120971,10.4551612,80.99197432,0.000123009
2023-05-29/2023-06-04,Model 5 - HDKR,80.89215653,97.73547289,0.167989616,-29.68346502,93.1188196,0.033913062
2023-06-05/2023-06-11,Model 1 - Kasten Model,127.5034907,182.0078069,-3.350638544,93.88528481,155.9243248,0.026377645
2023-06-05/2023-06-11,Model  2 - Balint et al. Model,124.2347893,176.3587363,-3.084763591,89.69026956,151.8488045,0.038418282
2023-06-05/2023-06-11,Model 3  - Real World GHI,54.2175875,67.11693701,0.408387656,14.81405393,65.46164556,0.076964909
2023-06-05/2023-06-11,Model 4 - Karamov Naumov,71.64566054,102.2693949,-0.373612843,34.59250648,96.24129898,0.000363556
2023-06-05/2023-06-11,Model 5 - HDKR,71.49207466,96.01907071,-0.210843366,-9.888700338,95.50851033,0.044161637
2023-06-12/2023-06-18,Model 1 - Kasten Model,72.55229258,105.7725362,-0.128239407,12.33545023,105.0507786,0.494487862
2023-06-12/2023-06-18,Model  2 - Balint et al. Model,71.50609059,102.647009,-0.062546701,8.663127551,102.2807835,0.687615172
